[2026-02-24 10:33:33,998] INFO [Broker id=1] Transitioning 52 partition(s) to local leaders. (state.change.logger)
[2026-02-24 10:33:34,127] INFO [Broker id=1] Leader __consumer_offsets-0 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,127] INFO [Broker id=1] Leader ack-topic-0 with topic id Some(rTMhRuVCRGOxpzozh2NeFQ) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,131] INFO [Broker id=1] Leader __consumer_offsets-29 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,131] INFO [Broker id=1] Leader __consumer_offsets-25 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,131] INFO [Broker id=1] Leader __consumer_offsets-8 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,131] INFO [Broker id=1] Leader __consumer_offsets-37 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,138] INFO [Broker id=1] Leader __consumer_offsets-4 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,140] INFO [Broker id=1] Leader __consumer_offsets-33 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,144] INFO [Broker id=1] Leader __consumer_offsets-15 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,146] INFO [Broker id=1] Leader __consumer_offsets-48 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
[2026-02-24 10:33:34,150] INFO [Broker id=1] Leader __consumer_offsets-11 with topic id Some(Si2sFI7LTKSxigLG22b0Ig) starts at leader epoch 50 from offset 0 with partition epoch 50, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader Some(1) and previous leader epoch was 48. (state.change.logger)
